Subject,Topic,Marks,Question
Information Technology,Programming Basics,1,Write a short essay on Programming Basics in Information Technology and its impact.
Information Technology,Programming Basics,4,Write a short essay on Programming Basics in Information Technology and its impact.
Information Technology,Programming Basics,2,What are the key principles of Programming Basics in Information Technology?
Information Technology,Programming Basics,3,Provide a detailed analysis of Programming Basics and its importance.
Information Technology,Programming Basics,4,Discuss the advantages and disadvantages of Programming Basics in Information Technology.
Information Technology,Programming Basics,4,Illustrate Programming Basics with a diagram and explain its significance.
Information Technology,Networking,1,Discuss the advantages and disadvantages of Networking in Information Technology.
Information Technology,Networking,3,What challenges are faced in understanding or applying Networking in Information Technology?
Information Technology,Networking,1,How does Networking relate to other concepts in Information Technology?
Information Technology,Networking,3,Explain Networking in Information Technology with a suitable example.
Information Technology,Networking,4,Illustrate Networking with a diagram and explain its significance.
Information Technology,Networking,3,Write a short essay on Networking in Information Technology and its impact.
Information Technology,Networking,3,Compare and contrast different theories related to Networking in Information Technology.
Information Technology,Networking,4,What challenges are faced in understanding or applying Networking in Information Technology?
Information Technology,Networking,4,Discuss the advantages and disadvantages of Networking in Information Technology.
Information Technology,Networking,1,How does Networking relate to other concepts in Information Technology?
Information Technology,Cybersecurity,2,What challenges are faced in understanding or applying Cybersecurity in Information Technology?
Information Technology,Cybersecurity,4,What are the key principles of Cybersecurity in Information Technology?
Information Technology,Cybersecurity,1,Explain Cybersecurity in Information Technology with a suitable example.
Information Technology,Cybersecurity,2,Write a short essay on Cybersecurity in Information Technology and its impact.
Information Technology,Cybersecurity,3,What are the key principles of Cybersecurity in Information Technology?
Information Technology,Cybersecurity,2,Describe the applications of Cybersecurity in real life.
Information Technology,Cybersecurity,2,Explain Cybersecurity in Information Technology with a suitable example.
Information Technology,Cybersecurity,4,Provide a detailed analysis of Cybersecurity and its importance.
Information Technology,Cybersecurity,1,Describe the applications of Cybersecurity in real life.
Information Technology,Cybersecurity,2,Compare and contrast different theories related to Cybersecurity in Information Technology.
Information Technology,Database Management,4,How does Database Management relate to other concepts in Information Technology?
Information Technology,Database Management,4,Discuss the advantages and disadvantages of Database Management in Information Technology.
Information Technology,Database Management,1,Illustrate Database Management with a diagram and explain its significance.
Information Technology,Database Management,3,Explain Database Management in Information Technology with a suitable example.
Information Technology,Database Management,4,Write a short essay on Database Management in Information Technology and its impact.
Information Technology,Database Management,4,Discuss the advantages and disadvantages of Database Management in Information Technology.
Information Technology,Database Management,3,Illustrate Database Management with a diagram and explain its significance.
Information Technology,Database Management,2,Explain Database Management in Information Technology with a suitable example.
Information Technology,Database Management,1,Provide a detailed analysis of Database Management and its importance.
Information Technology,Database Management,2,What are the key principles of Database Management in Information Technology?
Information Technology,Artificial Intelligence,4,Write a short essay on Artificial Intelligence in Information Technology and its impact.
Information Technology,Artificial Intelligence,2,How does Artificial Intelligence relate to other concepts in Information Technology?
Information Technology,Artificial Intelligence,1,Compare and contrast different theories related to Artificial Intelligence in Information Technology.
Information Technology,Artificial Intelligence,4,Provide a detailed analysis of Artificial Intelligence and its importance.
Information Technology,Artificial Intelligence,3,How does Artificial Intelligence relate to other concepts in Information Technology?
Information Technology,Artificial Intelligence,4,Illustrate Artificial Intelligence with a diagram and explain its significance.
Information Technology,Artificial Intelligence,2,Compare and contrast different theories related to Artificial Intelligence in Information Technology.
Information Technology,Artificial Intelligence,3,Provide a detailed analysis of Artificial Intelligence and its importance.
Information Technology,Artificial Intelligence,2,How does Artificial Intelligence relate to other concepts in Information Technology?
Information Technology,Artificial Intelligence,1,Illustrate Artificial Intelligence with a diagram and explain its significance.
Information Technology,Web Development,1,What challenges are faced in understanding or applying Web Development in Information Technology?
Information Technology,Web Development,1,Describe the applications of Web Development in real life.
Information Technology,Web Development,2,Write a short essay on Web Development in Information Technology and its impact.
Information Technology,Web Development,2,Discuss the advantages and disadvantages of Web Development in Information Technology.
Information Technology,Web Development,4,What are the key principles of Web Development in Information Technology?
Information Technology,Web Development,3,Provide a detailed analysis of Web Development and its importance.
Information Technology,Web Development,1,Write a short essay on Web Development in Information Technology and its impact.
Information Technology,Web Development,4,Describe the applications of Web Development in real life.
Information Technology,Web Development,2,What challenges are faced in understanding or applying Web Development in Information Technology?
Information Technology,Web Development,2,What are the key principles of Web Development in Information Technology?
Information Technology,Data Structures,3,Describe the applications of Data Structures in real life.
Information Technology,Data Structures,4,What challenges are faced in understanding or applying Data Structures in Information Technology?
Information Technology,Data Structures,2,Write a short essay on Data Structures in Information Technology and its impact.
Information Technology,Data Structures,2,Explain Data Structures in Information Technology with a suitable example.
Information Technology,Data Structures,4,Explain Data Structures in Information Technology with a suitable example.
Information Technology,Data Structures,3,Write a short essay on Data Structures in Information Technology and its impact.
Information Technology,Data Structures,1,Explain Data Structures in Information Technology with a suitable example.
Information Technology,Data Structures,1,Explain Data Structures in Information Technology with a suitable example.
Information Technology,Data Structures,4,Discuss the advantages and disadvantages of Data Structures in Information Technology.
Information Technology,Data Structures,2,Write a short essay on Data Structures in Information Technology and its impact.
Information Technology,Software Engineering,4,Provide a detailed analysis of Software Engineering and its importance.
Information Technology,Software Engineering,4,Discuss the advantages and disadvantages of Software Engineering in Information Technology.
Information Technology,Software Engineering,4,How does Software Engineering relate to other concepts in Information Technology?
Information Technology,Software Engineering,1,Discuss the advantages and disadvantages of Software Engineering in Information Technology.
Information Technology,Software Engineering,1,Write a short essay on Software Engineering in Information Technology and its impact.
Information Technology,Software Engineering,3,How does Software Engineering relate to other concepts in Information Technology?
Information Technology,Software Engineering,2,What challenges are faced in understanding or applying Software Engineering in Information Technology?
Information Technology,Software Engineering,1,Write a short essay on Software Engineering in Information Technology and its impact.
Information Technology,Software Engineering,4,How does Software Engineering relate to other concepts in Information Technology?
Information Technology,Software Engineering,1,What are the key principles of Software Engineering in Information Technology?
EVS,Climate Change,4,Illustrate Climate Change with a diagram and explain its significance.
EVS,Climate Change,2,How does Climate Change relate to other concepts in EVS?
EVS,Climate Change,2,Provide a detailed analysis of Climate Change and its importance.
EVS,Climate Change,1,Explain Climate Change in EVS with a suitable example.
EVS,Climate Change,2,What are the key principles of Climate Change in EVS?
EVS,Climate Change,4,Compare and contrast different theories related to Climate Change in EVS.
EVS,Climate Change,1,Explain Climate Change in EVS with a suitable example.
EVS,Climate Change,3,Write a short essay on Climate Change in EVS and its impact.
EVS,Climate Change,1,How does Climate Change relate to other concepts in EVS?
EVS,Climate Change,1,Discuss the advantages and disadvantages of Climate Change in EVS.
EVS,Biodiversity,4,Compare and contrast different theories related to Biodiversity in EVS.
EVS,Biodiversity,4,Explain Biodiversity in EVS with a suitable example.
EVS,Biodiversity,1,What are the key principles of Biodiversity in EVS?
EVS,Biodiversity,2,Write a short essay on Biodiversity in EVS and its impact.
EVS,Biodiversity,4,Describe the applications of Biodiversity in real life.
EVS,Biodiversity,3,How does Biodiversity relate to other concepts in EVS?
EVS,Biodiversity,3,What challenges are faced in understanding or applying Biodiversity in EVS?
EVS,Biodiversity,4,Discuss the advantages and disadvantages of Biodiversity in EVS.
EVS,Biodiversity,2,How does Biodiversity relate to other concepts in EVS?
EVS,Biodiversity,3,Compare and contrast different theories related to Biodiversity in EVS.
EVS,Sustainable Development,3,Provide a detailed analysis of Sustainable Development and its importance.
EVS,Sustainable Development,3,How does Sustainable Development relate to other concepts in EVS?
EVS,Sustainable Development,4,What are the key principles of Sustainable Development in EVS?
EVS,Sustainable Development,2,What are the key principles of Sustainable Development in EVS?
EVS,Sustainable Development,4,Describe the applications of Sustainable Development in real life.
EVS,Sustainable Development,2,Write a short essay on Sustainable Development in EVS and its impact.
EVS,Sustainable Development,3,Describe the applications of Sustainable Development in real life.
EVS,Sustainable Development,4,Provide a detailed analysis of Sustainable Development and its importance.
EVS,Sustainable Development,3,Explain Sustainable Development in EVS with a suitable example.
EVS,Sustainable Development,4,How does Sustainable Development relate to other concepts in EVS?
EVS,Pollution,4,How does Pollution relate to other concepts in EVS?
EVS,Pollution,3,Discuss the advantages and disadvantages of Pollution in EVS.
EVS,Pollution,1,Explain Pollution in EVS with a suitable example.
EVS,Pollution,1,How does Pollution relate to other concepts in EVS?
EVS,Pollution,2,What are the key principles of Pollution in EVS?
EVS,Pollution,1,Illustrate Pollution with a diagram and explain its significance.
EVS,Pollution,3,Describe the applications of Pollution in real life.
EVS,Pollution,1,Compare and contrast different theories related to Pollution in EVS.
EVS,Pollution,1,Illustrate Pollution with a diagram and explain its significance.
EVS,Pollution,3,What are the key principles of Pollution in EVS?
EVS,Conservation,4,Compare and contrast different theories related to Conservation in EVS.
EVS,Conservation,1,Illustrate Conservation with a diagram and explain its significance.
EVS,Conservation,3,What challenges are faced in understanding or applying Conservation in EVS?
EVS,Conservation,4,Explain Conservation in EVS with a suitable example.
EVS,Conservation,2,What are the key principles of Conservation in EVS?
EVS,Conservation,4,Illustrate Conservation with a diagram and explain its significance.
EVS,Conservation,3,How does Conservation relate to other concepts in EVS?
EVS,Conservation,2,Describe the applications of Conservation in real life.
EVS,Conservation,2,Compare and contrast different theories related to Conservation in EVS.
EVS,Conservation,1,How does Conservation relate to other concepts in EVS?
EVS,Renewable Energy,1,Compare and contrast different theories related to Renewable Energy in EVS.
EVS,Renewable Energy,1,Discuss the advantages and disadvantages of Renewable Energy in EVS.
EVS,Renewable Energy,1,What challenges are faced in understanding or applying Renewable Energy in EVS?
EVS,Renewable Energy,3,How does Renewable Energy relate to other concepts in EVS?
EVS,Renewable Energy,1,What challenges are faced in understanding or applying Renewable Energy in EVS?
EVS,Renewable Energy,1,What are the key principles of Renewable Energy in EVS?
EVS,Renewable Energy,4,How does Renewable Energy relate to other concepts in EVS?
EVS,Renewable Energy,4,Discuss the advantages and disadvantages of Renewable Energy in EVS.
EVS,Renewable Energy,1,What are the key principles of Renewable Energy in EVS?
EVS,Renewable Energy,4,What are the key principles of Renewable Energy in EVS?
EVS,Waste Management,1,What challenges are faced in understanding or applying Waste Management in EVS?
EVS,Waste Management,4,Write a short essay on Waste Management in EVS and its impact.
EVS,Waste Management,2,Describe the applications of Waste Management in real life.
EVS,Waste Management,4,Provide a detailed analysis of Waste Management and its importance.
EVS,Waste Management,2,How does Waste Management relate to other concepts in EVS?
EVS,Waste Management,2,Write a short essay on Waste Management in EVS and its impact.
EVS,Waste Management,4,Illustrate Waste Management with a diagram and explain its significance.
EVS,Waste Management,3,What challenges are faced in understanding or applying Waste Management in EVS?
EVS,Waste Management,2,Provide a detailed analysis of Waste Management and its importance.
EVS,Waste Management,1,Illustrate Waste Management with a diagram and explain its significance.
EVS,Ecosystems,1,Illustrate Ecosystems with a diagram and explain its significance.
EVS,Ecosystems,1,Write a short essay on Ecosystems in EVS and its impact.
EVS,Ecosystems,3,Discuss the advantages and disadvantages of Ecosystems in EVS.
EVS,Ecosystems,1,Discuss the advantages and disadvantages of Ecosystems in EVS.
EVS,Ecosystems,3,Write a short essay on Ecosystems in EVS and its impact.
EVS,Ecosystems,4,What challenges are faced in understanding or applying Ecosystems in EVS?
EVS,Ecosystems,3,Compare and contrast different theories related to Ecosystems in EVS.
EVS,Ecosystems,4,How does Ecosystems relate to other concepts in EVS?
EVS,Ecosystems,1,Provide a detailed analysis of Ecosystems and its importance.
EVS,Ecosystems,2,Explain Ecosystems in EVS with a suitable example.
